   NS=250   NC=250
 A2= 0.200 G2= 0.080 ZT= 0.275
 DEGREE OF POLYNOMIAL=  9
  ISPIN=0   SPINN=  0.1000D+01
   NB IS THE POWER TO WHICH THE SHIELDING FUNCTION IS RAISED TO
   NB=  7   TB=  0.7000D+01
   IHDPP1= 10
    3    0    4  106
    3    1    3  107
    3    2    2  108
    3    3    1  109
    3    4    0  110
    4    0    3  111
    4    1    2  112
    4    2    1  113
    4    3    0  114
    5    0    2  115
    5    1    1  116
    5    2    0  117
    6    0    1  118
    6    1    0  119
    7    0    0  120
    0    0    8  121
    0    1    7  122
    0    2    6  123
    0    3    5  124
    0    4    4  125
    0    5    3  126
    0    6    2  127
    0    7    1  128
    0    8    0  129
    1    0    7  130
    1    1    6  131
    1    2    5  132
    1    3    4  133
    1    4    3  134
    1    5    2  135
    1    6    1  136
    1    7    0  137
    2    0    6  138
    2    1    5  139
    2    2    4  140
    2    3    3  141
    2    4    2  142
    2    5    1  143
    2    6    0  144
    3    0    5  145
    3    1    4  146
    3    2    3  147
    3    3    2  148
    3    4    1  149
    3    5    0  150
    4    0    4  151
    4    1    3  152
    4    2    2  153
    4    3    1  154
    4    4    0  155
    5    0    3  156
    5    1    2  157
    5    2    1  158
    5    3    0  159
    6    0    2  160
    6    1    1  161
    6    2    0  162
    7    0    1  163
    7    1    0  164
    8    0    0  165
    0    0    9  166
    0    1    8  167
    0    2    7  168
    0    3    6  169
    0    4    5  170
    0    5    4  171
    0    6    3  172
    0    7    2  173
    0    8    1  174
    0    9    0  175
    1    0    8  176
    1    1    7  177
    1    2    6  178
    1    3    5  179
    1    4    4  180
    1    5    3  181
    1    6    2  182
    1    7    1  183
    1    8    0  184
    2    0    7  185
    2    1    6  186
    2    2    5  187
    2    3    4  188
    2    4    3  189
    2    5    2  190
    2    6    1  191
    2    7    0  192
    3    0    6  193
    3    1    5  194
    3    2    4  195
    3    3    3  196
    3    4    2  197
    3    5    1  198
    3    6    0  199
    4    0    5  200
    4    1    4  201
    4    2    3  202
    4    3    2  203
    4    4    1  204
    4    5    0  205
    5    0    4  206
    5    1    3  207
    5    2    2  208
    5    3    1  209
    5    4    0  210
    6    0    3  211
    6    1    2  212
    6    2    1  213
    6    3    0  214
    7    0    2  215
    7    1    1  216
    7    2    0  217
    8    0    1  218
    8    1    0  219
    9    0    0  220
   FOR W=  9 THERE ARE125 EVEN POWERS OF T
   IHDPTF=W=  9 N1F=125 N2F= 95 N1PN2F=220 N3F=345
   CHECK THAT N1F+N2F=N1PN2F:
    0    0    0    1
    0    0    1    2
    1    0    0    3
    0    0    2    4
    0    2    0    5
    1    0    1    6
    2    0    0    7
    0    0    3    8
    0    2    1    9
    1    0    2   10
    1    2    0   11
    2    0    1   12
    3    0    0   13
    0    0    4   14
    0    2    2   15
    0    4    0   16
    1    0    3   17
    1    2    1   18
    2    0    2   19
    2    2    0   20
    3    0    1   21
    4    0    0   22
    0    0    5   23
    0    2    3   24
    0    4    1   25
    1    0    4   26
    1    2    2   27
    1    4    0   28
    2    0    3   29
    2    2    1   30
    3    0    2   31
    3    2    0   32
    4    0    1   33
    5    0    0   34
    0    0    6   35
    0    2    4   36
    0    4    2   37
    0    6    0   38
    1    0    5   39
    1    2    3   40
    1    4    1   41
    2    0    4   42
    2    2    2   43
    2    4    0   44
    3    0    3   45
    3    2    1   46
    4    0    2   47
    4    2    0   48
    5    0    1   49
    6    0    0   50
    0    0    7   51
    0    2    5   52
    0    4    3   53
    0    6    1   54
    1    0    6   55
    1    2    4   56
    1    4    2   57
    1    6    0   58
    2    0    5   59
    2    2    3   60
    2    4    1   61
    3    0    4   62
    3    2    2   63
    3    4    0   64
    4    0    3   65
    4    2    1   66
    5    0    2   67
    5    2    0   68
    6    0    1   69
    7    0    0   70
    0    0    8   71
    0    2    6   72
    0    4    4   73
    0    6    2   74
    0    8    0   75
    1    0    7   76
    1    2    5   77
    1    4    3   78
    1    6    1   79
    2    0    6   80
    2    2    4   81
    2    4    2   82
    2    6    0   83
    3    0    5   84
    3    2    3   85
    3    4    1   86
    4    0    4   87
    4    2    2   88
    4    4    0   89
    5    0    3   90
    5    2    1   91
    6    0    2   92
    6    2    0   93
    7    0    1   94
    8    0    0   95
    0    0    9   96
    0    2    7   97
    0    4    5   98
    0    6    3   99
    0    8    1  100
    1    0    8  101
    1    2    6  102
    1    4    4  103
    1    6    2  104
    1    8    0  105
    2    0    7  106
    2    2    5  107
    2    4    3  108
    2    6    1  109
    3    0    6  110
    3    2    4  111
    3    4    2  112
    3    6    0  113
    4    0    5  114
    4    2    3  115
    4    4    1  116
    5    0    4  117
    5    2    2  118
    5    4    0  119
    6    0    3  120
    6    2    1  121
    7    0    2  122
    7    2    0  123
    8    0    1  124
    9    0    0  125
    0    1    0  126
    0    1    1  127
    1    1    0  128
    0    1    2  129
    0    3    0  130
    1    1    1  131
    2    1    0  132
    0    1    3  133
    0    3    1  134
    1    1    2  135
    1    3    0  136
    2    1    1  137
    3    1    0  138
    0    1    4  139
    0    3    2  140
    0    5    0  141
    1    1    3  142
    1    3    1  143
    2    1    2  144
    2    3    0  145
    3    1    1  146
    4    1    0  147
    0    1    5  148
    0    3    3  149
    0    5    1  150
    1    1    4  151
    1    3    2  152
    1    5    0  153
    2    1    3  154
    2    3    1  155
    3    1    2  156
    3    3    0  157
    4    1    1  158
    5    1    0  159
    0    1    6  160
    0    3    4  161
    0    5    2  162
    0    7    0  163
    1    1    5  164
    1    3    3  165
    1    5    1  166
    2    1    4  167
    2    3    2  168
    2    5    0  169
    3    1    3  170
    3    3    1  171
    4    1    2  172
    4    3    0  173
    5    1    1  174
    6    1    0  175
    0    1    7  176
    0    3    5  177
    0    5    3  178
    0    7    1  179
    1    1    6  180
    1    3    4  181
    1    5    2  182
    1    7    0  183
    2    1    5  184
    2    3    3  185
    2    5    1  186
    3    1    4  187
    3    3    2  188
    3    5    0  189
    4    1    3  190
    4    3    1  191
    5    1    2  192
    5    3    0  193
    6    1    1  194
    7    1    0  195
    0    1    8  196
    0    3    6  197
    0    5    4  198
    0    7    2  199
    0    9    0  200
    1    1    7  201
    1    3    5  202
    1    5    3  203
    1    7    1  204
    2    1    6  205
    2    3    4  206
    2    5    2  207
    2    7    0  208
    3    1    5  209
    3    3    3  210
    3    5    1  211
    4    1    4  212
    4    3    2  213
    4    5    0  214
    5    1    3  215
    5    3    1  216
    6    1    2  217
    6    3    0  218
    7    1    1  219
    8    1    0  220
 NUMBER OF ENERGIES=  1
 NK=  1   I= 1   AK(I)= 0.2500000D+00
 GAUSSIAN POINTS
    0.5771649927D-02    0.1472670286D-01    1
    0.3041072892D-01    0.3344717881D-01    2
    0.7473934038D-01    0.5027680181D-01    3
    0.1387690730D+00    0.6430868096D-01    4
    0.2225036511D+00    0.7491844827D-01    5
    0.3259466572D+00    0.8178384421D-01    6
    0.4491022580D+00    0.8488930424D-01    7
    0.5919753411D+00    0.8449734898D-01    8
    0.7545715516D+00    0.8109269588D-01    9
    0.9368973054D+00    0.7530917945D-01   10
    0.1138959796D+01    0.6785089104D-01   11
    0.1360766995D+01    0.5941819588D-01   12
    0.1602327661D+01    0.5064693805D-01   13
    0.1863651335D+01    0.4206587189D-01   14
    0.2144748347D+01    0.3407388832D-01   15
    0.2445629818D+01    0.2693557065D-01   16
    0.2766307661D+01    0.2079144548D-01   17
    0.3106794585D+01    0.1567816644D-01   18
    0.3467104096D+01    0.1155372856D-01   19
    0.3847250503D+01    0.8323436919D-02   20
    0.4247248920D+01    0.5863441194D-02   21
    0.4667115266D+01    0.4039893223D-02   22
    0.5106866275D+01    0.2722940776D-02   23
    0.5566519493D+01    0.1795680164D-02   24
    0.6046093286D+01    0.1158786949D-02   25
    0.6545606845D+01    0.7318376839D-03   26
    0.7065080185D+01    0.4523846993D-03   27
    0.7604534155D+01    0.2737298111D-03   28
    0.8163990440D+01    0.1621402908D-03   29
    0.8743471567D+01    0.9402498846D-04   30
    0.9343000907D+01    0.5338309578D-04   31
    0.9962602686D+01    0.2967517404D-04   32
    0.1060230199D+02    0.1615211788D-04   33
    0.1126212475D+02    0.8608491221D-05   34
    0.1194209779D+02    0.4492602610D-05   35
    0.1264224880D+02    0.2295894927D-05   36
    0.1336260634D+02    0.1148937798D-05   37
    0.1410319988D+02    0.5630371010D-06   38
    0.1486405976D+02    0.2701949071D-06   39
    0.1564521725D+02    0.1269752095D-06   40
    0.1644670449D+02    0.5843361889D-07   41
    0.1726855458D+02    0.2633344538D-07   42
    0.1811080152D+02    0.1162120820D-07   43
    0.1897348024D+02    0.5022153163D-08   44
    0.1985662662D+02    0.2125293371D-08   45
    0.2076027748D+02    0.8807084206D-09   46
    0.2168447062D+02    0.3573738202D-09   47
    0.2262924477D+02    0.1419981311D-09   48
    0.2359463968D+02    0.5524625502D-10   49
    0.2458069605D+02    0.2104618890D-10   50
    0.2558745559D+02    0.7850253472D-11   51
    0.2661496103D+02    0.2866961218D-11   52
    0.2766325608D+02    0.1025121574D-11   53
    0.2873238551D+02    0.3588649393D-12   54
    0.2982239513D+02    0.1229913831D-12   55
    0.3093333177D+02    0.4126591399D-13   56
    0.3206524335D+02    0.1355394623D-13   57
    0.3321817886D+02    0.4357939514D-14   58
    0.3439218836D+02    0.1371578624D-14   59
    0.3558732303D+02    0.4225387059D-15   60
    0.3680363514D+02    0.1274089908D-15   61
    0.3804117812D+02    0.3760124779D-16   62
    0.3930000649D+02    0.1086058382D-16   63
    0.4058017598D+02    0.3069956843D-17   64
    0.4188174345D+02    0.8492163113D-18   65
    0.4320476695D+02    0.2298737850D-18   66
    0.4454930575D+02    0.6088678809D-19   67
    0.4591542031D+02    0.1577959854D-19   68
    0.4730317233D+02    0.4001144225D-20   69
