   NS=95   NC=95
 A2=  0.30 G2=  0.01 ZT=  0.15
 DEGREE OF POLYNOMIAL=  9
  ISPIN=0
   IHDPP1= 10
    0.6446029809D+01    0.1306145190D-02  16
    0.7295927154D+01    0.5946676944D-03  17
    0.8199530713D+01    0.2556966159D-03  18
    0.9157100478D+01    0.1038486822D-03  19
    0.1016891403D+02    0.3984059972D-04  20
    0.1123526702D+02    0.1443756701D-04  21
    0.1235647364D+02    0.4941678982D-05  22
    0.1353286720D+02    0.1597401531D-05  23
    0.1476480067D+02    0.4875724490D-06  24
    0.1605264737D+02    0.1404939383D-06  25
    0.1739680154D+02    0.3820849676D-07  26
    0.1879767919D+02    0.9804387219D-08  27
    0.2025571875D+02    0.2372999398D-08  28
    0.2177138200D+02    0.5415453265D-09  29
    0.2334515491D+02    0.1164824443D-09  30
    0.2497754864D+02    0.2360415073D-10  31
    0.2666910051D+02    0.4504199583D-11  32
    0.2842037519D+02    0.8089703318D-12  33
    0.3023196581D+02    0.1366793102D-12  34
    0.3210449530D+02    0.2171113536D-13  35
    0.3403861774D+02    0.3240490478D-14  36
    0.3603501982D+02    0.4541616080D-15  37
    0.3809442250D+02    0.5972940042D-16  38
    0.4021758267D+02    0.7366032193D-17  39
    0.4240529500D+02    0.8511749472D-18  40
    0.4465839400D+02    0.9208682673D-19  41
    0.4697775614D+02    0.9319747820D-20  42
    0.4936430222D+02    0.8815627574D-21  43
    0.5181899987D+02    0.7786424595D-22  44
    0.5434286635D+02    0.6415490409D-23  45
    0.5693697151D+02    0.4925794700D-24  46
    0.5960244107D+02    0.3520468025D-25  47
    0.6234046012D+02    0.2339369920D-26  48
    0.6515227704D+02    0.1443579488D-27  49
    0.6803920770D+02    0.8261617574D-29  50
    0.7100264007D+02    0.4379048578D-30  51
    0.7404403931D+02    0.2146637484D-31  52
    0.7716495336D+02    0.9717170307D-33  53
    0.8036701903D+02    0.4055293250D-34  54
    0.8365196883D+02    0.1557627665D-35  55
